"Year";"Canton (-) / District (>>) / Commune (......)";"Sex";"Citizenship (category)";Deaths
"2009";">> Canton de Genève";"Male";"Switzerland";1159
"2009";">> Canton de Genève";"Male";"Foreign country";340
"2009";">> Canton de Genève";"Female";"Switzerland";1387
"2009";">> Canton de Genève";"Female";"Foreign country";254
"2009";"......6601 Aire-la-Ville";"Male";"Switzerland";1
"2009";"......6601 Aire-la-Ville";"Male";"Foreign country";0
"2009";"......6601 Aire-la-Ville";"Female";"Switzerland";0
"2009";"......6601 Aire-la-Ville";"Female";"Foreign country";0
"2009";"......6602 Anières";"Male";"Switzerland";8
"2009";"......6602 Anières";"Male";"Foreign country";1
"2009";"......6602 Anières";"Female";"Switzerland";9
"2009";"......6602 Anières";"Female";"Foreign country";2
"2009";"......6603 Avully";"Male";"Switzerland";2
"2009";"......6603 Avully";"Male";"Foreign country";0
"2009";"......6603 Avully";"Female";"Switzerland";1
"2009";"......6603 Avully";"Female";"Foreign country";0
"2009";"......6604 Avusy";"Male";"Switzerland";1
"2009";"......6604 Avusy";"Male";"Foreign country";0
"2009";"......6604 Avusy";"Female";"Switzerland";1
"2009";"......6604 Avusy";"Female";"Foreign country";0
"2009";"......6605 Bardonnex";"Male";"Switzerland";6
"2009";"......6605 Bardonnex";"Male";"Foreign country";0
"2009";"......6605 Bardonnex";"Female";"Switzerland";2
"2009";"......6605 Bardonnex";"Female";"Foreign country";0
"2009";"......6606 Bellevue";"Male";"Switzerland";2
"2009";"......6606 Bellevue";"Male";"Foreign country";0
"2009";"......6606 Bellevue";"Female";"Switzerland";4
"2009";"......6606 Bellevue";"Female";"Foreign country";1
"2009";"......6607 Bernex";"Male";"Switzerland";29
"2009";"......6607 Bernex";"Male";"Foreign country";6
"2009";"......6607 Bernex";"Female";"Switzerland";38
"2009";"......6607 Bernex";"Female";"Foreign country";3
"2009";"......6608 Carouge (GE)";"Male";"Switzerland";59
"2009";"......6608 Carouge (GE)";"Male";"Foreign country";17
"2009";"......6608 Carouge (GE)";"Female";"Switzerland";64
"2009";"......6608 Carouge (GE)";"Female";"Foreign country";11
"2009";"......6609 Cartigny";"Male";"Switzerland";3
"2009";"......6609 Cartigny";"Male";"Foreign country";0
"2009";"......6609 Cartigny";"Female";"Switzerland";0
"2009";"......6609 Cartigny";"Female";"Foreign country";1
"2009";"......6610 Céligny";"Male";"Switzerland";2
"2009";"......6610 Céligny";"Male";"Foreign country";0
"2009";"......6610 Céligny";"Female";"Switzerland";1
"2009";"......6610 Céligny";"Female";"Foreign country";0
"2009";"......6611 Chancy";"Male";"Switzerland";2
"2009";"......6611 Chancy";"Male";"Foreign country";0
"2009";"......6611 Chancy";"Female";"Switzerland";1
"2009";"......6611 Chancy";"Female";"Foreign country";0
"2009";"......6612 Chêne-Bougeries";"Male";"Switzerland";43
"2009";"......6612 Chêne-Bougeries";"Male";"Foreign country";9
"2009";"......6612 Chêne-Bougeries";"Female";"Switzerland";82
"2009";"......6612 Chêne-Bougeries";"Female";"Foreign country";8
"2009";"......6613 Chêne-Bourg";"Male";"Switzerland";14
"2009";"......6613 Chêne-Bourg";"Male";"Foreign country";6
"2009";"......6613 Chêne-Bourg";"Female";"Switzerland";13
"2009";"......6613 Chêne-Bourg";"Female";"Foreign country";6
"2009";"......6614 Choulex";"Male";"Switzerland";6
"2009";"......6614 Choulex";"Male";"Foreign country";0
"2009";"......6614 Choulex";"Female";"Switzerland";6
"2009";"......6614 Choulex";"Female";"Foreign country";0
"2009";"......6615 Collex-Bossy";"Male";"Switzerland";5
"2009";"......6615 Collex-Bossy";"Male";"Foreign country";0
"2009";"......6615 Collex-Bossy";"Female";"Switzerland";4
"2009";"......6615 Collex-Bossy";"Female";"Foreign country";0
"2009";"......6616 Collonge-Bellerive";"Male";"Switzerland";20
"2009";"......6616 Collonge-Bellerive";"Male";"Foreign country";3
"2009";"......6616 Collonge-Bellerive";"Female";"Switzerland";25
"2009";"......6616 Collonge-Bellerive";"Female";"Foreign country";3
"2009";"......6617 Cologny";"Male";"Switzerland";14
"2009";"......6617 Cologny";"Male";"Foreign country";2
"2009";"......6617 Cologny";"Female";"Switzerland";33
"2009";"......6617 Cologny";"Female";"Foreign country";3
"2009";"......6618 Confignon";"Male";"Switzerland";6
"2009";"......6618 Confignon";"Male";"Foreign country";4
"2009";"......6618 Confignon";"Female";"Switzerland";11
"2009";"......6618 Confignon";"Female";"Foreign country";0
"2009";"......6619 Corsier (GE)";"Male";"Switzerland";3
"2009";"......6619 Corsier (GE)";"Male";"Foreign country";1
"2009";"......6619 Corsier (GE)";"Female";"Switzerland";2
"2009";"......6619 Corsier (GE)";"Female";"Foreign country";1
"2009";"......6620 Dardagny";"Male";"Switzerland";1
"2009";"......6620 Dardagny";"Male";"Foreign country";2
"2009";"......6620 Dardagny";"Female";"Switzerland";4
"2009";"......6620 Dardagny";"Female";"Foreign country";0
"2009";"......6621 Genève";"Male";"Switzerland";493
"2009";"......6621 Genève";"Male";"Foreign country";157
"2009";"......6621 Genève";"Female";"Switzerland";577
"2009";"......6621 Genève";"Female";"Foreign country";128
"2009";"......6622 Genthod";"Male";"Switzerland";6
"2009";"......6622 Genthod";"Male";"Foreign country";4
"2009";"......6622 Genthod";"Female";"Switzerland";2
"2009";"......6622 Genthod";"Female";"Foreign country";1
"2009";"......6623 Le Grand-Saconnex";"Male";"Switzerland";27
"2009";"......6623 Le Grand-Saconnex";"Male";"Foreign country";6
"2009";"......6623 Le Grand-Saconnex";"Female";"Switzerland";31
"2009";"......6623 Le Grand-Saconnex";"Female";"Foreign country";3
"2009";"......6624 Gy";"Male";"Switzerland";4
"2009";"......6624 Gy";"Male";"Foreign country";0
"2009";"......6624 Gy";"Female";"Switzerland";0
"2009";"......6624 Gy";"Female";"Foreign country";0
"2009";"......6625 Hermance";"Male";"Switzerland";2
"2009";"......6625 Hermance";"Male";"Foreign country";1
"2009";"......6625 Hermance";"Female";"Switzerland";7
"2009";"......6625 Hermance";"Female";"Foreign country";2
"2009";"......6626 Jussy";"Male";"Switzerland";6
"2009";"......6626 Jussy";"Male";"Foreign country";1
"2009";"......6626 Jussy";"Female";"Switzerland";1
"2009";"......6626 Jussy";"Female";"Foreign country";0
"2009";"......6627 Laconnex";"Male";"Switzerland";1
"2009";"......6627 Laconnex";"Male";"Foreign country";0
"2009";"......6627 Laconnex";"Female";"Switzerland";1
"2009";"......6627 Laconnex";"Female";"Foreign country";0
"2009";"......6628 Lancy";"Male";"Switzerland";63
"2009";"......6628 Lancy";"Male";"Foreign country";17
"2009";"......6628 Lancy";"Female";"Switzerland";74
"2009";"......6628 Lancy";"Female";"Foreign country";9
"2009";"......6629 Meinier";"Male";"Switzerland";4
"2009";"......6629 Meinier";"Male";"Foreign country";0
"2009";"......6629 Meinier";"Female";"Switzerland";6
"2009";"......6629 Meinier";"Female";"Foreign country";0
"2009";"......6630 Meyrin";"Male";"Switzerland";48
"2009";"......6630 Meyrin";"Male";"Foreign country";16
"2009";"......6630 Meyrin";"Female";"Switzerland";36
"2009";"......6630 Meyrin";"Female";"Foreign country";8
"2009";"......6631 Onex";"Male";"Switzerland";43
